Date,GLI_Open,GLI_High,GLI_Low,GLI_Close,TotalVolume,Divisor,ComponentSum,RosterCount,SourceYear,LockedBundle
2013-06-27,111.660557658981777022160727680876457114902114018915269023409162957663235440721671325831903411951308426310630096305966069641902839213769912343122328406909615121340324647290428220230,113.161668072922760088608368726461415960549480273187901158276857952982048220201246974291000883556527222514659485418979726556038036824800787233271294025309246399142993048526904626475,111.043525747313190560416268448376902603057051912077946214667843870037369292674563100245061146551532188270666928814666913853527824784807883203618340364114817645976498662226704238364,112.441550989501238,214808661,41.394617550540460,4654.4750000000,100,2013,GLI_2013_final_lock_bundle
2013-06-28,112.179159981261598647162164262636393374330039428508218758567618681458812165713172237491127799020153082474383158054530777372770344851382515075107561255722042907721451365645773307301,113.285715252961007115402521578813164516524001325034492475975533705631452867844896269015416444242860545607909128820078832944680464058352726731663170882536052179706410859540242333752,111.137996781453139277084942579111153470754311097126058507066458065209477164771590823572903498514663743284670136182679265971698823378454527108295071458014066481461704621410537548310,111.844934775573293,337985120,41.394617550540460,4629.7783000000,100,2013,GLI_2013_final_lock_bundle
2013-07-01,112.473874240068935367330325323578469626752573255765311437121474694623224584536333519918692627803248818217805985788150920412575020677997731605143543211016385290272341760076425815666,114.295827104059469019576320677201615478263909047611326051597334321002605806922503376548982249582484067391238547607573422545079320491186046135735558392680897117001795332190073705195,111.815784565209595264157170557890800130764170192262191514173814420583427053173534084392525623055060495231942358673571574604570105104877100899104903029561773414303075742053375974738,113.151880054967322,204417405,41.394617550540460,4683.8788000000,100,2013,GLI_2013_final_lock_bundle
2013-07-02,113.091488968872943838194006221021804943216287183238924859414743892603640377473534690117641924305814979386481235906593493825325249222069737079592595579116535653494427993587640729816,114.509025002639972070943637771285245531275258005396927449388264407227692626293682485111896614748361544824944261380261451046905728606547883669717682017076094064648383570695540571579,112.153150656490691564114794136643208950067522279676190805099516147364108940212921829306218301841734822255792606324543419275228934021131668061021606528410726125334323514992333214939,113.200275235755171,252476432,41.394617550540460,4685.8821000000,100,2013,GLI_2013_final_lock_bundle
2013-07-03,112.717847708164184626350186399589519545062821141741760393485767659573654830098188197311260071139384146643716293571292440891792477275697542197597585492747607269520826872300187157414,113.882813175984296972411998053685776155444939218645043208431278655600106803612980189063680441553882320612369865946112014270706447055124388379270085730949549070557260859940975226176,112.026697962191203316157283960552492784784144837283332733141420144430314467960450727384700402004019733199069954832893291413437492199545323445217435834349241023512612363835822563222,113.330487816978248,128088733,41.394617550540460,4691.2722000000,100,2013,GLI_2013_final_lock_bundle
2013-07-05,114.258177739632017147652121160049384586243427838455517230625109049517395139924258438651632899104874933683109367600913228855509574961426176092572048141526608095839693570070567822323,115.199254722345200261017327493210540286663513345941240933166997717615581000449434683918060737322515851647824572372617667717681260872759970344618656517060302871551173264766956301727,112.781368636178145466858826449753933973617146058755101723533525431347376877624760650395473958078482117742278190168596435354168414877908932573118410509999573790794086932448073107961,114.593267934131845,168699373,41.394617550540460,4743.5445000000,100,2013,GLI_2013_final_lock_bundle
2013-07-08,115.050079158809423831616218536625123979735164999867531641404262953846562441441987414915869678298512012743292752720871080288460204572919996322871468262264823699996220987715666030036,116.056559105711524849887499829749520618857500730763759820112579857049736547038042164393722408185081022935131846661827028481380177032385484937858971677746311391084419514855377200745,114.205558136231429724331197727400033336519139586479967089598888832207024367985609232750687122203732997556805521745619268916289073092317164666868172430304486130208595837244762569287,115.079809450680756,207859978,41.394617550540460,4763.6847000000,100,2013,GLI_2013_final_lock_bundle
2013-07-09,115.858983457074671144069778299799173953718302645484241372154471974533447382379394710163694514794349867414930269615618825459677248536194359265341935659252232841407192521302399826857,117.250047160699786185402942406415278639215952811880716268226301032359082958698605249564426808113375355663529862840297908497751843400551119205007322071863464836216144042973978939214,114.941884514110663865657668109248340106808781039356990657822109068599752359175609241495696587957514196723686890960023284063696967672429536357722883051014082641917026937125295982389,116.341717473776299,223400396,41.394617550540460,4815.9209000000,100,2013,GLI_2013_final_lock_bundle
2013-07-10,116.284657481871783768792619083965929308968869926937052864551890787646705172508662694808994623425891829432505712199563655951894165581313752443852012860246755150262209627754733387068,117.525818846323844080893950226321699535690107031911011977606814375357405884074625083883587244398198545962836528409363797155789680632036636340521479979630879519365304678417293289108,115.399021213806461689379632319976745205322926544909586126387233908619795386267531666415935720073031739819407959788827431550615526722860456598198973174959687566297144588495038955067,116.747734028452300,217759997,41.394617550540460,4832.7278000000,100,2013,GLI_2013_final_lock_bundle
2013-07-11,118.175456897933434554464539474157744887376729320240624416210828591899823822999070970298369411107954667142012478713423733377873480148296341880270225406187232482871578573980227861985,119.150294296539173679083512682418820134946568629766581998169942944853737256591634983917565909951055326506123815968059295746410960869445364402959383304350185652386649524732181151118,117.010506553404040633907360954704778550767180661573759390392894188904247751228345977008439308893825695354640254739729599363988311661685219798486192043597564093299153134633871291571,118.342277085153086,222263259,41.394617550540460,4898.7333000000,100,2013,GLI_2013_final_lock_bundle
2013-07-12,118.160342196783657736601564350233429260117152560998720086555048609334829948699867246554881902098979431634632403193895369382053475846142788164007573278616621839956027982709616477453,119.273506794683001169060510520927046165597892839666543068181699130994339837696554084513472154960434961320032788210609566805285121569602583759071444226566595665088466263577142889218,117.224652914168355560188106127915934207691760926381089156488524654035326367149834776347521103541444992406274441544491468655666328253969496005826152358103991828972879184798713991033,118.439562680196531,216568804,41.394617550540460,4902.7604000000,100,2013,GLI_2013_final_lock_bundle
