Ticker,StartDate,EndDate,Company,Identity,Aliases,Source,ComponentHistoryLabels,EventDate,EventType,PriorTicker,PriorCompany,EventDetail
HURC,2021-01-12,2025-12-31,"Hurco Companies, Inc.",HURC,,GLI historical roster and company-name audit,,,,,,
ILA,2005-08-01,2006-07-14,"Aquila, Inc.",ILA,Aquila,GLI historical roster and company-name audit,Aquila,,,,,
INGR,2012-06-04,2025-12-31,Ingredion Incorporated,INGREDION,"Ingredion Incorporated|Ingredion, Inc.",GLI historical roster and company-name audit,"Ingredion, Inc.",2012-06-04,NAME_AND_TICKER_CHANGE,CPO,"Corn Products International, Inc.",Same security; the company name and ticker changed to Ingredion / INGR.
ITC,2014-12-16,2016-10-13,ITC Holdings Corp.,ITC,,GLI historical roster and company-name audit,,,,,,
ITW,2006-11-20,2025-12-31,Illinois Tool Works Inc.,ITW,Illinois Tool Works,GLI historical roster and company-name audit,Illinois Tool Works,,,,,
JCI,2005-09-22,2016-09-02,"Johnson Controls, Inc.",JCI,Johnson Controls,historical corporate-name chronology,Johnson Controls,,,,,
JCI,2016-09-06,2021-01-11,Johnson Controls International plc,JCI,,historical corporate-name chronology,,,,,,
JLL,2011-03-07,2025-12-31,Jones Lang LaSalle Incorporated,JLL,Jones Lang LaSalle Inc.,GLI historical roster and company-name audit,Jones Lang LaSalle Inc.,,,,,
K,2005-08-31,2023-10-01,Kellogg Company,KELLANOVA,Kellogg,historical corporate-name chronology,Kellogg,,,,,
K,2023-10-02,2025-12-10,Kellanova,KELLANOVA,,historical corporate-name chronology,,2023-10-02,NAME_CHANGE,K,Kellogg Company,Same security and ticker; company name changed to Kellanova.
KBAL,2014-11-03,2023-06-01,"Kimball International, Inc.",KBAL,,GLI historical roster and company-name audit,,,,,,
KBALB,2009-05-18,2014-10-31,"Kimball International, Inc. Class B",KBAL,Kimball International,GLI historical roster and company-name audit,Kimball International,,,,,
KDN,2005-10-10,2006-02-03,Kaydon Corporation,KDN,Kaydon Corp.,GLI historical roster and company-name audit,Kaydon Corp.,,,,,
KELYA,2006-11-20,2025-12-31,"Kelly Services, Inc.",KELYA,Kelly Services,GLI historical roster and company-name audit,Kelly Services,,,,,
KFT,2005-10-10,2012-10-01,Kraft Foods Inc.,MONDELEZ_PRE_SPLIT,Kraft Foods Inc.|Kraft Foods,GLI historical roster and company-name audit,Kraft Foods,,,,,
KHC,2015-07-06,2021-01-11,The Kraft Heinz Company,KHC,,GLI historical roster and company-name audit,,,,,,
KOSS,2007-01-19,2008-07-17,Koss Corporation,KOSS,Koss Corp.,GLI historical roster and company-name audit,Koss Corp.,,,,,
KR,2005-09-22,2025-12-31,The Kroger Co.,KR,Kroger,GLI historical roster and company-name audit,Kroger,,,,,
KRFT,2012-10-02,2015-07-02,"Kraft Foods Group, Inc.",KRAFT_HEINZ_KRFT,"Kraft Foods Group, Inc.|Kraft Foods Group",GLI historical roster and company-name audit,Kraft Foods Group,2012-10-02,SECURITY_REPLACEMENT,KFT,Kraft Foods Inc.,"KFT retired in the 2012 spin-off; the GLI component history selected Kraft Foods Group (KRFT), a separate security era."
KSS,2005-09-22,2025-12-31,Kohl's Corporation,KSS,Kohl's,GLI historical roster and company-name audit,Kohl's,,,,,
LB,2018-10-24,2021-08-02,"L Brands, Inc.",LB_BBWI,,GLI historical roster and company-name audit,,,,,,
LBY,2008-07-25,2009-04-08,Libbey Inc.,LBY,,GLI historical roster and company-name audit,"Libbey, Inc.",,,,,
LEA,2005-10-10,2009-04-08,Lear Corporation,LEA,Lear Corp.,GLI historical roster and company-name audit,Lear Corp.,,,,,
LI,2007-01-19,2007-09-26,"Laidlaw International, Inc.",LI,Laidlaw International,GLI historical roster and company-name audit,Laidlaw International,,,,,
LKFN,2005-08-01,2025-12-31,Lakeland Financial Corporation,LKFN,Lakeland Financial,GLI historical roster and company-name audit,Lakeland Financial,,,,,
LLY,2006-03-07,2025-12-31,Eli Lilly and Company,LLY,Eli Lilly & Co.,GLI historical roster and company-name audit,Eli Lilly & Co.,,,,,
LZB,2005-08-31,2025-12-31,La-Z-Boy Incorporated,LZB,La-Z-Boy,GLI historical roster and company-name audit,La-Z-Boy,,,,,
M,2007-06-01,2025-12-31,"Macy's, Inc.",MACYS,Federated Dept. Stores|Macy's,GLI historical roster and company-name audit,Macy's,2007-06-01,NAME_AND_TICKER_CHANGE,FD,"Federated Department Stores, Inc.","Same security; the name and ticker changed, so this is not membership turnover."
